Frequency,Acceleration
1989,0.000296800
1991,0.000463600
1992,0.000706400
1994,0.000685900
1995,0.000447000
1997,0.000433500
1998,0.000598300
2000,0.001155000
2002,0.009113000
2003,0.011910000
2005,0.003821000
2006,0.000381600
2008,0.000280100
2009,0.000447900
2011,0.000342500
2013,0.000294700
2014,0.000346000
2016,0.000275300
2017,0.000269100
2019,0.000247600
2020,0.000313400
2022,0.000321400
2023,0.000476000
2025,0.001057000
2027,0.000647800
2028,0.000415800
2030,0.000257500
2031,0.000320100
2033,0.000466200
2034,0.000465100
2036,0.000433300
2038,0.000418300
2039,0.000401000
2041,0.000352800
2042,0.000338400
2044,0.000437400
2045,0.000337700
2047,0.000291800
2048,0.000247100
2050,0.000307100
2052,0.000577800
2053,0.000761800
2055,0.000446600
2056,0.000365600
2058,0.000331300
2059,0.000219600
2061,0.000265100
2063,0.000264200
2064,0.000364000
2066,0.000344800
2067,0.000301200
2069,0.000228300
2070,0.000197000
2072,0.000400500
2073,0.000486000
2075,0.000453700
2077,0.000539300
2078,0.000529200
2080,0.000525300
2081,0.000380500
2083,0.000210800
2084,0.000194800
2086,0.000267700
2088,0.000340800
2089,0.000261300
2091,0.000257300
2092,0.000397600
2094,0.000687600
2095,0.000669600
2097,0.000566200
2098,0.000524900
2100,0.000639200
2102,0.004839000
2103,0.006997000
2105,0.002580000
2106,0.000395800
2108,0.000499200
2109,0.000549400
2111,0.000617400
2113,0.000514700
2114,0.000248000
2116,0.000280700
2117,0.000253800
2119,0.000219100
2120,0.000130700
2122,0.000229000
2123,0.000380200
2125,0.000863800
2127,0.000755700
2128,0.000234700
2130,0.000398000
2131,0.000231300
2133,0.000198700
2134,0.000260200
2136,0.000269900
2138,0.000262900
2139,0.000212500
2141,0.000162700
2142,0.000176200
2144,0.000281400
2145,0.000336000
2147,0.000300500
2148,0.000260200
2150,0.000235000
2152,0.000365600
2153,0.000370500
2155,0.000235100
2156,0.000169300
2158,0.000224000
2159,0.000149000
2161,0.000202800
2163,0.000271700
2164,0.000256800
2166,0.000191400
2167,0.000174400
2169,0.000194700
2170,0.000207000
2172,0.000211900
2173,0.000140500
2175,0.000152300
2177,0.000332900
2178,0.000348800
